random_state,metric,model,parameter,value,mean_score,std_dev
5,f1_macro,SVM,C,0.001,0.9123979728960212,0.05522052029507587
23,f1_macro,SVM,C,0.001,0.9123979728960212,0.05522052029507587
42,f1_macro,SVM,C,0.001,0.9123979728960212,0.05522052029507587
5,f1_macro,SVM,C,0.01,0.9191867394855684,0.04058088925501927
23,f1_macro,SVM,C,0.01,0.9191867394855684,0.04058088925501927
42,f1_macro,SVM,C,0.01,0.9191867394855684,0.04058088925501927
5,f1_macro,SVM,C,0.1,0.9732664995822891,0.013366750208855494
23,f1_macro,SVM,C,0.1,0.9732664995822891,0.013366750208855494
42,f1_macro,SVM,C,0.1,0.9732664995822891,0.013366750208855494
5,f1_macro,SVM,C,1.0,0.9799498746867169,0.016370858765468226
23,f1_macro,SVM,C,1,0.9799498746867169,0.016370858765468226
42,f1_macro,SVM,C,1,0.9799498746867169,0.016370858765468226
5,f1_macro,SVM,C,10.0,0.9728562668393064,0.039745270448023375
23,f1_macro,SVM,C,10,0.9728562668393064,0.039745270448023375
42,f1_macro,SVM,C,10,0.9728562668393064,0.039745270448023375
5,f1_macro,SVM,C,100.0,0.9662063086104006,0.042895297762184294
23,f1_macro,SVM,C,100,0.9662063086104006,0.042895297762184294
42,f1_macro,SVM,C,100,0.9662063086104006,0.042895297762184294
5,f1_macro,SVM,C,1000.0,0.9662063086104006,0.042895297762184294
23,f1_macro,SVM,C,1000,0.9662063086104006,0.042895297762184294
42,f1_macro,SVM,C,1000,0.9662063086104006,0.042895297762184294
5,f1_macro,SVM,kernel,linear,0.9799498746867169,0.016370858765468226
23,f1_macro,SVM,kernel,linear,0.9799498746867169,0.016370858765468226
42,f1_macro,SVM,kernel,linear,0.9799498746867169,0.016370858765468226
5,f1_macro,SVM,kernel,poly,0.9799498746867169,0.016370858765468226
23,f1_macro,SVM,kernel,poly,0.9799498746867169,0.016370858765468226
42,f1_macro,SVM,kernel,poly,0.9799498746867169,0.016370858765468226
5,f1_macro,SVM,kernel,rbf,0.9666165413533834,0.021081890794608538
23,f1_macro,SVM,kernel,rbf,0.9666165413533834,0.021081890794608538
42,f1_macro,SVM,kernel,rbf,0.9666165413533834,0.021081890794608538
5,f1_macro,SVM,kernel,sigmoid,0.042872210953346854,0.03494447711521723
23,f1_macro,SVM,kernel,sigmoid,0.042872210953346854,0.03494447711521723
42,f1_macro,SVM,kernel,sigmoid,0.042872210953346854,0.03494447711521723
5,f1_macro,SVM,max_iter,100,0.9799498746867169,0.016370858765468226
23,f1_macro,SVM,max_iter,100,0.9799498746867169,0.016370858765468226
42,f1_macro,SVM,max_iter,100,0.9799498746867169,0.016370858765468226
5,f1_macro,SVM,max_iter,1000,0.9799498746867169,0.016370858765468226
23,f1_macro,SVM,max_iter,1000,0.9799498746867169,0.016370858765468226
42,f1_macro,SVM,max_iter,1000,0.9799498746867169,0.016370858765468226
5,f1_macro,SVM,max_iter,10000,0.9799498746867169,0.016370858765468226
23,f1_macro,SVM,max_iter,10000,0.9799498746867169,0.016370858765468226
42,f1_macro,SVM,max_iter,10000,0.9799498746867169,0.016370858765468226
