random_state,metric,model,parameter,value,mean_score,std_dev
5,f1_macro,DecisionTree,splitter,best,0.9598997493734336,0.032741717530936375
23,f1_macro,DecisionTree,splitter,best,0.9598997493734336,0.032741717530936375
42,f1_macro,DecisionTree,splitter,best,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,splitter,random,0.9665831244778612,9.930136612989092e-17
23,f1_macro,DecisionTree,splitter,random,0.9463638895217841,0.01651076731312907
42,f1_macro,DecisionTree,splitter,random,0.9391659028218458,0.06593057907325621
5,precision_macro,DecisionTree,criterion,entropy,0.9550168350168349,0.03375719358407477
23,precision_macro,DecisionTree,criterion,entropy,0.9550168350168349,0.03375719358407477
42,precision_macro,DecisionTree,criterion,entropy,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,criterion,gini,0.9622895622895623,0.032182634734945516
23,precision_macro,DecisionTree,criterion,gini,0.9622895622895623,0.032182634734945516
42,precision_macro,DecisionTree,criterion,gini,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,criterion,log_loss,0.9550168350168349,0.03375719358407477
23,precision_macro,DecisionTree,criterion,log_loss,0.9550168350168349,0.03375719358407477
42,precision_macro,DecisionTree,criterion,log_loss,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,max_depth,10,0.9622895622895623,0.032182634734945516
23,precision_macro,DecisionTree,max_depth,10,0.9622895622895623,0.032182634734945516
42,precision_macro,DecisionTree,max_depth,10,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,max_depth,100,0.9622895622895623,0.032182634734945516
23,precision_macro,DecisionTree,max_depth,100,0.9622895622895623,0.032182634734945516
42,precision_macro,DecisionTree,max_depth,100,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,max_depth,1000,0.9622895622895623,0.032182634734945516
23,precision_macro,DecisionTree,max_depth,1000,0.9622895622895623,0.032182634734945516
42,precision_macro,DecisionTree,max_depth,1000,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,max_depth,10000,0.9622895622895623,0.032182634734945516
23,precision_macro,DecisionTree,max_depth,10000,0.9622895622895623,0.032182634734945516
42,precision_macro,DecisionTree,max_depth,10000,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,splitter,best,0.9622895622895623,0.032182634734945516
23,precision_macro,DecisionTree,splitter,best,0.9622895622895623,0.032182634734945516
42,precision_macro,DecisionTree,splitter,best,0.9550168350168349,0.03375719358407477
5,precision_macro,DecisionTree,splitter,random,0.9696969696969697,0.0
23,precision_macro,DecisionTree,splitter,random,0.9523232323232325,0.014754391625462817
42,precision_macro,DecisionTree,splitter,random,0.9443741443741445,0.05922203591785384
5,recall_macro,DecisionTree,criterion,entropy,0.9533333333333334,0.0339934634239519
23,recall_macro,DecisionTree,criterion,entropy,0.9533333333333334,0.0339934634239519
42,recall_macro,DecisionTree,criterion,entropy,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,criterion,gini,0.9600000000000002,0.03265986323710903
23,recall_macro,DecisionTree,criterion,gini,0.9600000000000002,0.03265986323710903
42,recall_macro,DecisionTree,criterion,gini,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,criterion,log_loss,0.9533333333333334,0.0339934634239519
23,recall_macro,DecisionTree,criterion,log_loss,0.9533333333333334,0.0339934634239519
42,recall_macro,DecisionTree,criterion,log_loss,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,max_depth,10,0.9600000000000002,0.03265986323710903
23,recall_macro,DecisionTree,max_depth,10,0.9600000000000002,0.03265986323710903
42,recall_macro,DecisionTree,max_depth,10,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,max_depth,100,0.9600000000000002,0.03265986323710903
23,recall_macro,DecisionTree,max_depth,100,0.9600000000000002,0.03265986323710903
42,recall_macro,DecisionTree,max_depth,100,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,max_depth,1000,0.9600000000000002,0.03265986323710903
23,recall_macro,DecisionTree,max_depth,1000,0.9600000000000002,0.03265986323710903
42,recall_macro,DecisionTree,max_depth,1000,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,max_depth,10000,0.9600000000000002,0.03265986323710903
23,recall_macro,DecisionTree,max_depth,10000,0.9600000000000002,0.03265986323710903
42,recall_macro,DecisionTree,max_depth,10000,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,splitter,best,0.9600000000000002,0.03265986323710903
23,recall_macro,DecisionTree,splitter,best,0.9600000000000002,0.03265986323710903
42,recall_macro,DecisionTree,splitter,best,0.9533333333333334,0.0339934634239519
5,recall_macro,DecisionTree,splitter,random,0.9666666666666666,1.1102230246251565e-16
23,recall_macro,DecisionTree,splitter,random,0.9466666666666665,0.01632993161855457
42,recall_macro,DecisionTree,splitter,random,0.9400000000000001,0.06463573143221771
